Name,LATITUDE,LONGITUDE,ADDRESSPOSTALCODE
Ci Yuan Hawker Centre,1.3749377,103.8829472,538776
West Coast Drive Blk 502 (Ayer Rajah Market),1.31195998,103.7591019,120502
West Coast Drive Blk 503 (Ayer Rajah Food Centre),1.31186998,103.7598038,120503
Bedok South Road Blk 16,1.32055998,103.9355469,460016
Pasir Ris Central Hawker Centre,1.373318,103.951364,519641
Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),1.34559596,103.9445953,521137
Toa Payoh Lorong 5 Blk 75,1.33609998,103.8529968,310075
Zion Riverside Food Centre,1.29234004,103.8311844,247792
Woodleigh Village Hawker Centre,1.20255048,103.5218923,363202
Tiong Bahru Market,1.28468299,103.832428,168898
Toa Payoh Lorong 1 Blk 127 (Toa Payoh West Market and Food Court),1.33816004,103.8447876,310127
Bukit Canberra Hawker Centre,1.449,103.8228,752350
Fernvale Hawker Centre,1.3916,103.8771,797650
Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre),1.27667999,103.8432312,81006
Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),1.36726606,103.8399429,568226
Bedok Food Centre,1.32035303,103.9554749,469572
Bedok North Street 1 Blk 216,1.32711995,103.9332962,460216
Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre),1.33331001,103.930687,460511
Bedok North Street 3 Blk 538,1.33210003,103.9247208,460538
Bedok North Street 4 Blk 85 (85 Fengshan Centre),1.33205998,103.9388123,460085
Bedok Reservoir Road Blk 630,1.33298004,103.9142075,470630
Circuit Road Blk 89,1.32363999,103.8855209,370089
Holland Drive Blk 44 (Holland Drive Market and Food Centre),1.30818999,103.7928391,270044
Toa Payoh Lorong 4 Blk 93,1.33853996,103.8495712,310093
Toa Payoh Lorong 7 Blk 22 (Kim Keat Palm Market and Food Centre),1.33528996,103.8570633,310022
Toa Payoh Lorong 8 Blk 210,1.34033001,103.8544617,310210
Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre),1.31508994,103.8716812,380017
Upper Cross Street Blk 531A (Hong Lim Food Centre and Market),1.28446996,103.8458633,51531
East Coast Lagoon Food Village,1.30772996,103.9343033,468960
Circuit Road Blk 79/79A,1.32666004,103.8851166,370079
Jurong West Street 52 Blk 505,1.34969997,103.7184601,640505
North Bridge Road Market,1.30584705,103.8638611,198783
Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre),1.28524005,103.8223724,151115
Newton Food Centre,1.31222498,103.8397293,229495
Yishun Park Hawker Centre,1.424911,103.844992,768867
Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),1.43165803,103.8280716,760104
Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),1.36416996,103.84832,560341
Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),1.36829996,103.8564377,561453
Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),1.37204003,103.8464966,560724
Clementi Ave 3 Blk 448,1.31334996,103.7645874,120448
Taman Jurong Market and Food Centre,1.33468103,103.7216187,618499
New Market Road Blk 32 (People's Park Food Centre),1.28487098,103.8425903,50032
Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre),1.31433797,103.7707748,120353
New Upper Changi Road Blk 208B,1.324629,103.930477,462208
New Upper Changi Road Blk 58,1.32516551,103.940155,461058
Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall),1.30827999,103.8858414,390051
Clementi West Street 2 Blk 726,1.30391705,103.7641754,120726
Commonwealth Drive Blk 1A/2A/3A (Tanglin Halt Food Centre/Commonwealth Drive Food Centre),1.29955006,103.7980194,141001
Eunos Crescent Blk 4A,1.320292,103.9042206,402004
Bukit Panjang Hawker Centre,1.378269,103.772432,679947
Bukit Timah Market,1.33964503,103.7758026,588215
Chomp Chomp Food Centre,1.36422801,103.8665314,557269
Mei Chin Road Blk 159 (Mei Chin Road Market),1.29330003,103.8029633,140159
Pasir Panjang Food Centre,1.27565897,103.7915573,118543
Redhill Lane Blk 79 (Redhill Market),1.28790999,103.8183975,150079
Redhill Lane Blk 85 (Redhill Food Centre),1.28740001,103.8183975,150085
Serangoon Garden Market,1.36354005,103.8669815,555945
Shunfu Road Blk 320 (Shunfu Mart),1.35181999,103.8370285,570320
Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre),1.32152998,103.8700714,330069
Ghim Moh Road Blk 20,1.31105995,103.7882919,270020
Smith Street Blk 335 (Chinatown Complex Market),1.2823,103.8428802,50335
Tanglin Halt Market,1.30085003,103.7976837,148813
Jalan Kukoh Blk 1 (Kukoh 21 Food Centre),1.28831995,103.8399963,161001
Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),1.34536004,103.7315826,600347
Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),1.34343302,103.7376862,600254
Kallang Estate Fresh Market and Food Centre,1.30711246,103.8841476,397972
Holland Village Market and Food Centre,1.31110203,103.7949448,277700
Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre),1.35408998,103.890213,530105
Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre),1.359079,103.8859253,530209
Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre),1.28006995,103.8260727,160112
Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre),1.28700995,103.8081894,150006
Maxwell Food Centre (Kim Hua Market),1.28055096,103.8444595,69184
Commonwealth Crescent Market,1.30743206,103.7994614,149644
Empress Road Blk 7 (Empress Road Market and Food Centre),1.31631005,103.805687,260007
Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),1.34528005,103.7128525,641221
Geylang Serai Market,1.31688809,103.8974075,402001
Jurong West Hawker Centre,1.341223,103.697374,648202
Margaret Drive Hawker Centre,1.2977,103.8043,142038
Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),1.28374004,103.8171082,150163
Cambridge Road Blk 41A (Pek Kio Market and Food Centre),1.31620002,103.8503036,211041
Changi Village Blk 2 and 3,1.38971996,103.9881821,500002
Circuit Road Blk 80 (80 Circuit Road Market and Food Centre),1.32790005,103.8871536,370080
Dunman Food Centre,1.309412,103.901825,424768
Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre),1.31518996,103.8956528,430013
Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),1.28804004,103.829689,161022
Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market),1.32349002,103.8541336,320091
Kampung Admiralty Hawker Centre,1.440119,103.800735,730676
Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre),1.30233002,103.9063873,440084
Adam Road Food Centre,1.32413197,103.8141632,289876
Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),1.32070994,103.8870926,380117
Amoy Street Food Centre (Telok Ayer Food Centre),1.27912903,103.8469849,69111
Sims Place Blk 49 (Sims Vista Market and Food Centre),1.31710005,103.8793793,380049
Golden Mile Food Centre,1.30287397,103.8638763,199583
Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market),1.30243003,103.8839798,432004
Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),1.31928003,103.8630905,330029
Beo Crescent Market,1.28848803,103.8272476,169982
Berseh Food Centre,1.30733502,103.8568497,208877
