LIC_NAME,STR_NAME,lng,lat
LI LI CHENG SUPERMARKET (PUNGGOL) PTE. LTD.,PUNGGOL PLACE,103.901262,1.402303
SHENG SIONG SUPERMARKET PTE LTD,UPPER BOON KENG ROAD,103.870914,1.314239
COLD STORAGE SINGAPORE (1983) PTE LTD,HOUGANG AVENUE 8,103.886366,1.373321
COLD STORAGE SINGAPORE (1983) PTE LTD,BEDOK RESERVOIR ROAD,103.914942,1.332959
YES SUPERMARKET PTE LTD,TAMPINES STREET 21,103.95301,1.353453
SUZYAMEER FROZEN PTE. LTD.,TAMPINES STREET 21,103.953586,1.352262
G8 MART PTE. LTD.,ANG MO KIO AVENUE 10,103.852967,1.365384
SHENG SIONG SUPERMARKET PTE LTD,ANG MO KIO AVENUE 3,103.836741,1.367549
PRIME SUPERMARKET (1996) PTE LTD,HOUGANG AVENUE 1,103.890681,1.353703
TAN KWEE ENG,YISHUN RING ROAD,103.842396,1.430071
SHENG SIONG SUPERMARKET PTE LTD,ANG MO KIO AVENUE 3,103.843413,1.370189
KAI SOON SUPERMARKET PTE. LTD.,YISHUN RING ROAD,103.832883,1.422139
COLD STORAGE SINGAPORE (1983) PTE LTD,SUNSET WAY,103.76726,1.32325
THE FISHWIVES PTE. LTD.,BUKIT TIMAH ROAD,103.814246,1.322573
PRIME SUPERMARKET LIMITED,UPPER ALJUNIED LANE,103.878746,1.334292
ABEDIN TRADING PTE. LTD.,GEYLANG ROAD,103.8867,1.314207
COLD STORAGE SINGAPORE (1983) PTE LTD,STADIUM WALK,103.876153,1.302222
COLD STORAGE SINGAPORE (1983) PTE LTD,THOMSON ROAD,103.843657,1.320211
SONG FISH DEALER PTE LTD,PETIR ROAD,103.762741,1.37835
THE SEAFOOD MARKET PLACE (BY SONG FISH) PTE. LTD.,WOODLANDS DRIVE 71,103.800701,1.439916
SHENG SIONG SUPERMARKET PTE LTD,JALAN BERSEH,103.857011,1.307785
COLD STORAGE SINGAPORE (1983) PTE LTD,TANGLIN ROAD,103.823853,1.304843
BLUEWATER SEAFOOD PTE. LTD.,DEMPSEY ROAD,103.809382,1.303446
WONS BUTCHERY PTE. LTD.,ST. MARTIN'S DRIVE,103.824464,1.30571
LITTLE FARMS PTE. LTD.,LORONG LIPUT,103.795246,1.310644
B & S MINI MART PTE. LTD.,GEYLANG ROAD,103.879622,1.312451
"CHEE MIN KUAN,  SIMON",TANJONG KATONG ROAD,103.896498,1.303734
JSJ CORPORATION PTE. LTD.,TANAH MERAH COAST ROAD,103.985869,1.318452
U STARS PTE. LTD.,ELIAS ROAD,103.941978,1.378602
LOTTE MART PTE. LTD.,LORONG KILAT,103.774213,1.340827
AJMAL TRADING GROUP PTE. LTD.,JALAN PAPAN,103.727481,1.322108
MURUGAN TRADERS PTE LTD,TRACTOR ROAD,103.7051,1.32492
SHENG SIONG SUPERMARKET PTE LTD,BUKIT BATOK WEST AVENUE 8,103.739303,1.355723
SHENG SIONG SUPERMARKET PTE LTD,WOODLANDS RISE,103.805488,1.446804
AJMAL TRADING GROUP PTE. LTD.,WOODLANDS SECTOR 2,103.809439,1.461526
SHENG SIONG SUPERMARKET PTE LTD,YISHUN AVENUE 4,103.843559,1.420156
PHAN NEE TRADING LLP,YISHUN AVENUE 7,103.83903,1.444341
HAO MART PTE. LTD.,PUNGGOL EAST,103.919353,1.399904
THE SEAFOOD MARKET PLACE (BY SONG FISH) PTE. LTD.,PUNGGOL DRIVE,103.913196,1.402878
COLD STORAGE SINGAPORE (1983) PTE LTD,ANG MO KIO AVENUE 10,103.853891,1.372646
PAN PACIFIC INTERNATIONAL HOLDINGS PTE. LTD.,TRAS STREET,103.843471,1.274588
COLD STORAGE SINGAPORE (1983) PTE LTD,JOO CHIAT ROAD,103.902232,1.309822
SHENG SIONG SUPERMARKET PTE LTD,EDGEDALE PLAINS,103.91652,1.402622
VIVA CORP SERVICES PTE. LTD.,KAKI BUKIT ROAD 3,103.903735,1.337339
SWISS BUTCHERY (2013) PRIVATE LIMITED,GREENWOOD AVENUE,103.806587,1.331761
ROSWELL ENTERPRISE PTE LTD,GREENWOOD AVENUE,103.806492,1.331832
T S J INDUSTRIAL (S) PTE. LTD.,TOH GUAN ROAD EAST,103.754341,1.336831
COLD STORAGE SINGAPORE (1983) PTE LTD,MARINE PARADE ROAD,103.905114,1.301191
COLD STORAGE SINGAPORE (1983) PTE LTD,KALLANG AVENUE,103.864102,1.309742
COLD STORAGE SINGAPORE (1983) PTE LTD,TANJONG KATONG ROAD,103.894481,1.314692
COLD STORAGE SINGAPORE (1983) PTE LTD,WEST COAST ROAD,103.765285,1.303583
COLD STORAGE SINGAPORE (1983) PTE LTD,VISTA EXCHANGE GREEN,103.788215,1.306849
FOODIE MARKET PLACE PTE. LTD.,OUTRAM ROAD,103.835371,1.283451
MUSTAFA HOLDINGS PTE LTD,SYED ALWI ROAD,103.855702,1.309753
SUPERNATURE PTE LTD,ORCHARD ROAD,103.828509,1.306196
HUBER'S PTE. LTD.,DEMPSEY ROAD,103.810186,1.306792
MEAT THE BUTCHER PTE. LTD.,BUKIT TIMAH ROAD,103.809358,1.324374
YEO KENG GUAN,RIDGEWOOD CLOSE,103.778947,1.316619
COLD STORAGE SINGAPORE (1983) PTE LTD,HOLLAND ROAD,103.785841,1.317562
COLD STORAGE SINGAPORE (1983) PTE LTD,GREENWOOD AVENUE,103.806809,1.331491
COLD STORAGE SINGAPORE (1983) PTE LTD,YISHUN STREET 22,103.836724,1.435761
CHD @ SOON LEE PTE. LTD.,SOON LEE ROAD,103.69907,1.332123
SHENG SIONG SUPERMARKET PTE LTD,YUAN CHING ROAD,103.725222,1.325468
MD SYDUR RAHMAN,TUAS SOUTH STREET 5,103.626729,1.295014
7SEVEN PTE. LTD.,NORTH COAST AVENUE,103.786437,1.45606
COLD STORAGE SINGAPORE (1983) PTE LTD,FUSIONOPOLIS WAY,103.787404,1.299294
SHENG SIONG SUPERMARKET PTE LTD,CANBERRA STREET,103.832393,1.448864
U STARS PTE. LTD.,WOODLANDS DRIVE 73,103.806198,1.44063
SHENG SIONG SUPERMARKET PTE LTD,ANCHORVALE CRESCENT,103.889654,1.399229
SHENG SIONG SUPERMARKET PTE LTD,FERNVALE LINK,103.879872,1.391587
BHANDARI INTERNATIONAL PTE. LTD.,WOODLANDS INDUSTRIAL PARK E5 (PART OF),103.791095,1.451325
SHENG SIONG SUPERMARKET PTE LTD,WOODLANDS STREET 12,103.779747,1.433513
WAN SIEW YOONG,SAGO LANE,103.842908,1.281801
HAO MART PTE. LTD.,JALAN TENTERAM,103.859813,1.328212
MCP FAIRMART PTE LTD,BUKIT BATOK STREET 31,103.750695,1.359259
HAO MART PTE. LTD.,JALAN BUKIT MERAH,103.830811,1.277849
PAN PACIFIC INTERNATIONAL HOLDINGS PTE. LTD.,ORCHARD ROAD,103.839435,1.300839
COLD STORAGE SINGAPORE (1983) PTE LTD,PAYA LEBAR ROAD,103.892551,1.318676
COLD STORAGE SINGAPORE (1983) PTE LTD,ALEXANDRA ROAD,103.80501,1.288615
COLD STORAGE SINGAPORE (1983) PTE LTD,YISHUN AVENUE 2,103.835776,1.429698
COLD STORAGE SINGAPORE (1983) PTE LTD,HOUGANG STREET 21,103.88508,1.359497
SHENG SIONG SUPERMARKET PTE LTD,CLEMENTI WEST STREET 2,103.763751,1.302464
PRIME SUPERMARKET LIMITED,KING GEORGE'S AVENUE,103.860913,1.308365
PRIME SUPERMARKET LIMITED,TAMPINES STREET 81,103.93401,1.348733
COLD STORAGE SINGAPORE (1983) PTE LTD,TAMPINES STREET 81,103.934913,1.349224
COLD STORAGE SINGAPORE (1983) PTE LTD,WOODLANDS SQUARE,103.785689,1.436008
COLD STORAGE SINGAPORE (1983) PTE LTD,WOODLANDS DRIVE 44,103.793416,1.43084
LIN POH LING,LORONG 8 TOA PAYOH,103.854334,1.340643
COLD STORAGE SINGAPORE (1983) PTE LTD,SERANGOON CENTRAL,103.871862,1.350676
COLD STORAGE SINGAPORE (1983) PTE LTD,VICTORIA STREET,103.855787,1.300142
NAWAS GLOBAL PTE. LTD.,TUAS SOUTH STREET 12,103.633512,1.271642
SADIA MINIMART PTE LTD,MANDAI ESTATE,103.759406,1.40853
MEIDI-YA SINGAPORE CO (PTE) LTD,RIVER VALLEY ROAD,103.844586,1.291515
IROHA INTERNATIONAL PTE. LTD.,ORCHARD ROAD,103.845048,1.300748
COLD STORAGE SINGAPORE (1983) PTE LTD,CLEMENCEAU AVENUE,103.842561,1.29226
LITTLE FARMS PTE. LTD.,RIVER VALLEY ROAD,103.826941,1.293018
SHENG SIONG SUPERMARKET PTE LTD,TEBAN GARDENS ROAD,103.738293,1.322136
PHAN NEE INVESTMENTS (S) PTE LTD,OLD CHOA CHU KANG ROAD,103.718404,1.377611
COLD STORAGE SINGAPORE (1983) PTE LTD,UPPER CHANGI ROAD,103.946201,1.331776
RAW MARKET PTE. LTD.,PASIR RIS LINK,103.96084,1.375588
THE BUTCHER (SINGAPORE) PTE. LTD.,JALAN MERAH SAGA,103.796844,1.311922
HAO MART PTE. LTD.,YISHUN RING ROAD,103.839685,1.433595
SEOUL BUTCHERY PTE. LTD.,YUK TONG AVENUE,103.774633,1.342075
V SURESH KUMAR,ADMIRALTY ROAD WEST - LODGE 1,103.820073,1.459828
COLD STORAGE SINGAPORE (1983) PTE LTD,TURF CLUB ROAD,103.793134,1.338995
HAO MART PTE. LTD.,GEYLANG ROAD,103.883647,1.313175
COLD STORAGE SINGAPORE (1983) PTE LTD,ORCHARD ROAD,103.83524,1.303723
COLD STORAGE SINGAPORE (1983) PTE LTD,STRAITS VIEW,103.852845,1.277372
COLD STORAGE SINGAPORE (1983) PTE LTD,ORCHARD ROAD,103.845048,1.300748
COLD STORAGE SINGAPORE (1983) PTE LTD,KIM SENG PROMENADE,103.831758,1.293802
POPULAR SUPERMARKET PTE LTD,TUAS SOUTH STREET 13,103.634164,1.27031
SADIA SUPERMARKET & TRADING (S) PTE. LTD.,TUAS SOUTH STREET 13,103.634164,1.27031
COLD STORAGE SINGAPORE (1983) PTE LTD,OCEAN WAY,103.841921,1.247759
COLD STORAGE SINGAPORE (1983) PTE LTD,BUKIT TIMAH ROAD,103.827346,1.319436
COLD STORAGE SINGAPORE (1983) PTE LTD,JELAPANG ROAD,103.766171,1.385296
COLD STORAGE SINGAPORE (1983) PTE LTD,BISHAN STREET 13,103.849882,1.349622
NTUC FAIRPRICE CO-OPERATIVE LTD,LORONG 4 TOA PAYOH,103.850483,1.331662
NTUC FAIRPRICE CO-OPERATIVE LTD,TAMPINES STREET 44,103.953126,1.360323
NTUC FAIRPRICE CO-OPERATIVE LTD,TAMPINES STREET 11,103.948129,1.348371
NTUC FAIRPRICE CO-OPERATIVE LTD,RIVERVALE CRESCENT,103.904472,1.392198
NTUC FAIRPRICE CO-OPERATIVE LTD,RIVERVALE DRIVE,103.901558,1.384932
NTUC FAIRPRICE CO-OPERATIVE LTD,UPPER THOMSON ROAD,103.83092,1.354669
NTUC FAIRPRICE CO-OPERATIVE LTD,LORONG 6 TOA PAYOH,103.84705,1.332965
NTUC FAIRPRICE CO-OPERATIVE LTD,LENGKONG TIGA,103.91069,1.323977
NTUC FAIRPRICE CO-OPERATIVE LTD,BISHAN STREET 24,103.843785,1.357223
NTUC FAIRPRICE CO-OPERATIVE LTD,PASIR RIS STREET 72,103.936208,1.379768
NTUC FAIRPRICE CO-OPERATIVE LTD,JOO CHIAT ROAD,103.898765,1.31554
NTUC FAIRPRICE CO-OPERATIVE LTD,JALAN TIGA,103.884764,1.307827
NTUC FAIRPRICE CO-OPERATIVE LTD,AIRPORT BOULEVARD,103.98517,1.354371
NTUC FAIRPRICE CO-OPERATIVE LTD,EUNOS CRESCENT,103.903266,1.32119
NTUC FAIRPRICE CO-OPERATIVE LTD,SERANGOON CENTRAL,103.871862,1.350676
NTUC FAIRPRICE CO-OPERATIVE LTD,BEDOK NORTH STREET 4,103.938051,1.332335
NTUC FAIRPRICE CO-OPERATIVE LTD,GEYLANG ROAD,103.888545,1.31415
NTUC FAIRPRICE CO-OPERATIVE LTD,CHANGI BUSINESS PARK CENTRAL 1,103.962389,1.334325
NTUC FAIRPRICE CO-OPERATIVE LTD,CHANGI BUSINESS PARK AVENUE 1,103.963654,1.33492
NTUC FAIRPRICE CO-OPERATIVE LTD,NEW UPPER CHANGI ROAD,103.929268,1.324772
NTUC FAIRPRICE CO-OPERATIVE LTD,NEW UPPER CHANGI ROAD,103.941569,1.324246
NTUC FAIRPRICE CO-OPERATIVE LTD,AIRPORT BOULEVARD,103.988751,1.355191
NTUC FAIRPRICE CO-OPERATIVE LTD,EAST COAST ROAD,103.90285,1.30385
NTUC FAIRPRICE CO-OPERATIVE LTD,POTONG PASIR AVENUE 2,103.867037,1.332536
NTUC FAIRPRICE CO-OPERATIVE LTD,STADIUM PLACE,103.872751,1.303843
NTUC FAIRPRICE CO-OPERATIVE LTD,SIMEI STREET 6,103.953025,1.342706
NTUC FAIRPRICE CO-OPERATIVE LTD,MACPHERSON ROAD,103.879295,1.331771
NTUC FAIRPRICE CO-OPERATIVE LTD,TAI SENG STREET,103.888763,1.336539
NTUC FAIRPRICE CO-OPERATIVE LTD,EUNOS ROAD 8,103.894731,1.318869
JMD RETAIL PTE. LTD.,TANJONG KATONG ROAD,103.896327,1.304164
NTUC FAIRPRICE CO-OPERATIVE LTD,DEPOT ROAD,103.810031,1.281122
COLD STORAGE SINGAPORE (1983) PTE LTD,HARBOURFRONT WALK,103.821589,1.263896
NTUC FAIRPRICE CO-OPERATIVE LTD,DOVER CRESCENT,103.781697,1.304764
NTUC FAIRPRICE CO-OPERATIVE LTD,TECK WHYE LANE,103.753118,1.380031
NTUC FAIRPRICE CO-OPERATIVE LTD,JURONG WEST CENTRAL 3,103.705351,1.339315
NTUC FAIRPRICE CO-OPERATIVE LTD,CHOA CHU KANG NORTH 6,103.746558,1.397302
NTUC FAIRPRICE CO-OPERATIVE LTD,CHOA CHU KANG DRIVE,103.74733,1.397129
LAMIAH ENTERPRISE PTE. LTD.,TECH PARK CRESCENT,103.63034,1.311468
NTUC FAIRPRICE CO-OPERATIVE LTD,COMMONWEALTH AVENUE WEST,103.764248,1.314853
NTUC FAIRPRICE CO-OPERATIVE LTD,TELOK BLANGAH STREET 32,103.808935,1.273383
NTUC FAIRPRICE CO-OPERATIVE LTD,ALEXANDRA ROAD,103.801127,1.273677
